127.0.0.1 - - [18/Aug/2023:10:17:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:17:56 +0530] "GET /Cookies/Cookies.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:17:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:18:05 +0530] "GET /WebPage/index.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:18:09 +0530] "POST /Cookies/servlet1 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:18:12 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:27:50 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:27:51 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:27:51 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:27:51 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:27:56 +0530] "GET /Cookies/Cookies.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:28:07 +0530] "POST /Cookies/servlet1 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:28:08 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:29:31 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:29:34 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:29:34 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:29:34 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:29:34 +0530] "GET /Cookies/servlet2 HTTP/1.1" 200 43
